lat,lon,addr,sqft,assessed,market,subsidy,change,county
36.60527,-118.06242,"129 E Whitney Portal Rd, Lone Pine",5000,100392,379322,3291,2153,Inyo
37.16559,-118.29771,"602 West Crocker Ave, Big Pine",4257,327726,431538,1225,-70,Inyo
37.16518,-118.29467,"437 Cornell St, Big Pine",10436,350198,431538,960,-335,Inyo
37.3661,-118.39255,"257 E Elm St, Bishop",6370,72201,605747,6296,4479,Inyo
36.60584,-118.06156,"230 E Mountain View St, Lone Pine",2137,154405,379322,2654,1516,Inyo
36.60568,-118.06156,"117 S Lone Pine Ave, Lone Pine",3750,177564,379322,2381,1243,Inyo
37.1651,-118.29799,"621 Cornell St, Big Pine",10039,353993,431538,915,-380,Inyo
37.36584,-118.39117,"596 North Third St, Bishop",10024,306652,605747,3529,1712,Inyo
36.60462,-118.06213,"133 E Post St, Lone Pine",8287,166464,379322,2512,1374,Inyo
37.16524,-118.29723,"581 Cornell St, Big Pine",12236,354270,431538,912,-383,Inyo
36.60461,-118.06186,"205 E Post St, Lone Pine",7697,68408,379322,3669,2531,Inyo
37.16524,-118.29704,"561 Cornell St, Big Pine",9542,369864,431538,728,-567,Inyo
36.60581,-118.06169,"220 E Mountain View St, Lone Pine",2258,169380,379322,2477,1339,Inyo
36.60503,-118.06187,"210 E Whitney Portal Rd, Lone Pine",7254,54566,379322,3832,2694,Inyo
36.60495,-118.06207,"150 E Whitney Portal Rd, Lone Pine",4805,214627,379322,1943,805,Inyo
37.16526,-118.2956,"481 Cornell St, Big Pine",11272,62937,431538,4349,3055,Inyo
37.36484,-118.39099,"315 A E Pine St, Bishop",7500,134698,605747,5558,3741,Inyo
37.36457,-118.39099,"315 E Pine St, Bishop",7500,514153,605747,1081,-736,Inyo
37.36621,-118.39119,"293 East Elm St, Bishop",10137,330141,605747,3252,1435,Inyo
37.16581,-118.29508,"450 W Crocker Ave, Big Pine",10319,34092,431538,4690,3395,Inyo
37.36612,-118.39173,"291 E Elm St, Bishop",14461,533231,605747,856,-962,Inyo
36.60551,-118.06177,"129 S Lone Pine Ave, Lone Pine",8351,132536,379322,2912,1774,Inyo
37.16511,-118.29432,"161 South School St, Big Pine",10301,622010,622010,0,-1866,Inyo
37.16518,-118.29682,"555 Cornell St, Big Pine",12090,416055,431538,183,-1112,Inyo
37.15929,-118.28995,"671 South Main St, Big Pine",12096,356615,431538,884,-411,Inyo
37.16583,-118.29488,"440 W Crocker Ave, Big Pine",11690,185630,431538,2902,1607,Inyo
37.15918,-118.29038,"141 Blake Rd, Big Pine",7200,279901,431538,1789,495,Inyo
37.16564,-118.29444,"133 S School St, Big Pine",9966,324957,431538,1258,-37,Inyo
37.16591,-118.2921,"240 W Crocker Ave, Big Pine",14550,378740,431538,623,-672,Inyo
37.16563,-118.2921,"131 Flower Alley, Big Pine",5250,169038,431538,3097,1803,Inyo
37.15947,-118.28995,"651 S Main St, Big Pine",11985,163273,431538,3166,1871,Inyo
37.16547,-118.2921,"141 Flower Alley, Big Pine",6000,102480,431538,3883,2588,Inyo
37.15918,-118.29074,"171 Blake Rd, Big Pine",16692,126600,431538,3598,2304,Inyo
37.36569,-118.39307,"595 Howard St, Bishop",5000,281944,605747,3821,2004,Inyo
37.36555,-118.39307,"583 Howard St, Bishop",5000,259598,605747,4085,2267,Inyo
